number,company,symbol,ytd_return
216,Republic Services,,9.82
217,"Tesla, Inc.",,9.6
218,Datadog,,9.35
219,Expeditors International,,9.26
220,Hewlett Packard Enterprise,,8.99
221,Pinnacle West,,8.8
222,Corteva,,8.8
223,Cincinnati Financial,,8.76
224,Crown Castle,,8.69
225,Mastercard,,8.63
226,Textron,,8.54
227,Deere & Company,,8.52
228,Freeport-McMoRan,,8.48
229,Agilent Technologies,,8.44
230,Berkshire Hathaway,,8.39
231,Pentair,,8.33
232,American International Group,,7.66
233,Hilton Worldwide,,7.61
234,Cintas,,7.55
235,Linde plc,,7.5
236,Intuit,,7.4
237,CoStar Group,,7.35
238,Thermo Fisher Scientific,,7.26
239,NXP Semiconductors,,6.97
240,Vici Properties,,6.78
241,Raymond James Financial,,6.71
242,Emerson Electric,,6.65
243,Expand Energy,,6.58
244,Waste Management,,6.49
245,DuPont,,6.4
246,Booking Holdings,,6.39
247,Chevron Corporation,,6.18
248,Albemarle Corporation,,6.11
249,McDonald's,,6.07
250,Vertex Pharmaceuticals,,5.85
251,Willis Towers Watson,,5.48
252,Stryker Corporation,,5.47
253,Intercontinental Exchange,,5.22
254,Sempra,,5.21
255,Autodesk,,5.07
256,Apple Inc.,,4.93
257,American Tower,,4.89
258,TransDigm Group,,4.88
259,ExxonMobil,,4.78
260,Aflac,,4.58
261,Ametek,,4.46
262,Wabtec,,4.44
263,Keysight Technologies,,4.18
264,A. O. Smith,,4.09
265,Hubbell Incorporated,,3.92
266,T-Mobile US,,3.78
267,Simon Property Group,,3.78
268,Regions Financial Corporation,,3.57
269,Lilly (Eli),,3.57
270,Sysco,,3.53
271,Ross Stores,,3.4
272,Mondelez International,,3.38
273,Tractor Supply,,3.22
274,Southwest Airlines,,3.15
275,United Airlines Holdings,,3.1
276,Williams-Sonoma,,3.09
277,Delta Air Lines,,3.01
278,Public Storage,,2.95
279,Broadridge Financial Solutions,,2.76
280,Edwards Lifesciences,,2.69
281,Walt Disney Company (The),,2.65
282,Hologic,,2.62
283,NetApp,,2.58
284,Principal Financial Group,,2.56
285,Kellanova,,2.48
286,Moody's Corporation,,2.44
287,KeyCorp,,2.33
288,Costco,,2.32
289,Charles River Laboratories,,1.98
290,Veralto,,1.9
291,Snap-on,,1.84
292,Illinois Tool Works,,1.41
293,Amazon,,1.2
294,Match Group,,1.07
295,Truist Financial,,1.04
296,Paycom,,0.92
297,Verizon,,0.78
298,PepsiCo,,0.74
299,Lockheed Martin,,0.73
300,Extra Space Storage,,0.64
301,Allstate,,0.49
302,Home Depot (The),,0.49
303,Darden Restaurants,,0.43
304,Kinder Morgan,,0.36
305,Otis Worldwide,,0.1
306,Domino's,,0.03
307,Gen Digital,,-0.07
308,Fifth Third Bancorp,,-0.26
309,Sherwin-Williams,,-0.44
310,U.S. Bancorp,,-0.46
311,Lowe's,,-0.62
312,Union Pacific Corporation,,-0.66
313,Iron Mountain,,-0.67
314,J.B. Hunt,,-0.98
315,Roper Technologies,,-1.03
316,Assurant,,-1.12
317,News Corp (Class B),,-1.41
318,Las Vegas Sands,,-1.44
319,Public Service Enterprise Group,,-1.62
320,Arthur J. Gallagher & Co.,,-1.71
321,Huntington Bancshares,,-2.03
322,Devon Energy,,-2.05
323,Airbnb,,-2.17
324,APA Corporation,,-2.21
325,CF Industries,,-2.38
326,Regency Centers,,-2.39
327,Chubb Limited,,-2.55
328,GE HealthCare,,-2.66
329,Zimmer Biomet,,-2.78
330,Lennar,,-2.86
331,S&P Global,,-2.86
332,Automatic Data Processing,,-2.99
333,SBA Communications,,-3.01
334,Motorola Solutions,,-3.06
335,"BXP, Inc.",,-3.21
336,Digital Realty,,-3.21
337,Lamb Weston,,-3.26
338,Masco,,-3.29
339,M&T Bank,,-3.36
340,MetLife,,-3.49
341,Texas Instruments,,-3.56
342,Best Buy,,-3.66
343,Everest Group,,-3.67
344,Marriott International,,-3.77
345,Danaher Corporation,,-3.82
346,Interpublic Group of Companies (The),,-3.85
347,Paccar,,-4.01
348,News Corp (Class A),,-4.21
349,Aon,,-4.38
350,Biogen,,-4.38
351,"NVR, Inc.",,-4.73
352,"Workday, Inc.",,-4.79
353,J.M. Smucker Company (The),,-4.89
354,Host Hotels & Resorts,,-4.97
355,Arch Capital Group,,-5.04
356,MGM Resorts,,-5.05
357,Elevance Health,,-5.19
358,Kimco Realty,,-5.21
359,Synopsys,,-5.42
360,PNC Financial Services,,-5.67
361,Waters Corporation,,-5.86
362,Starbucks,,-5.86
363,Dayforce,,-5.92
364,Pfizer,,-6.33
365,Blackstone Inc.,,-6.37
366,Norwegian Cruise Line Holdings,,-7.03
367,Halliburton,,-7.17
368,Henry Schein,,-7.18
369,Honeywell,,-7.44
370,Progressive Corporation,,-7.52
371,Packaging Corporation of America,,-7.55
372,Dover Corporation,,-7.76
373,T. Rowe Price,,-7.82
374,W. W. Grainger,,-7.83
375,Essex Property Trust,,-8.22
376,Healthpeak Properties,,-8.34
377,Kimberly-Clark,,-8.39
378,Omnicom Group,,-8.52
379,"Block, Inc.",,-8.54
380,Coterra,,-8.69
381,Tyson Foods,,-8.86
382,Paychex,,-9.04
383,Procter & Gamble,,-9.56
384,"Nike, Inc.",,-9.66
385,Equifax,,-9.78
386,Lennox International,,-9.9
387,MSCI,,-9.94
388,Ameriprise Financial,,-9.97
389,Tyler Technologies,,-10.05
390,CDW,,-10.06
391,Invitation Homes,,-10.26
392,Fortinet,,-10.27
393,Dexcom,,-10.31
394,Zoetis,,-10.34
395,Federal Realty Investment Trust,,-10.44
396,Jack Henry & Associates,,-10.48
397,Ball Corporation,,-10.5
398,Cognizant,,-10.57
399,Camden Property Trust,,-10.88
400,Marsh McLennan,,-11.04
401,ServiceNow,,-11.19
402,Pool Corporation,,-11.24
403,Intuitive Surgical,,-11.35
404,International Paper,,-11.41
405,Stanley Black & Decker,,-11.74
406,Bio-Techne,,-11.9
407,Merck & Co.,,-11.92
408,Fortive,,-11.92
409,Ingersoll Rand,,-12.05
410,Builders FirstSource,,-12.07
411,Air Products,,-12.18
412,McCormick & Company,,-12.24
413,Carrier Global,,-12.36
414,Equity Residential,,-12.46
415,Schlumberger,,-12.57
416,Avery Dennison,,-12.61
417,PPG Industries,,-12.62
418,ON Semiconductor,,-12.64
419,Equinix,,-12.82
420,ConocoPhillips,,-12.87
421,Revvity,,-13.19
422,Brown & Brown,,-13.47
423,EOG Resources,,-13.49
424,Amcor,,-13.5
425,Colgate-Palmolive,,-13.52
426,Diamondback Energy,,-13.61
427,FedEx,,-13.68
